pozycja,artysta,utwór,rok_wydania,youtube_search,youtube_link,youtubeId
119,Marek Biliński,UCIECZKA Z TROPIKU,1998,https://www.youtube.com/results?search_query=Marek%20Bili%C5%84ski%20UCIECZKA%20Z%20TROPIKU,https://www.youtube.com/watch?v=kYK2v-QqE4A,kYK2v-QqE4A
120,Renata Przemyk & Kasia Nosowska,KOCHANA,,https://www.youtube.com/results?search_query=Renata%20Przemyk%20%26%20Kasia%20Nosowska%20KOCHANA,https://www.youtube.com/watch?v=jBMzL62jCGY,jBMzL62jCGY
121,Matylda / Łukasiewicz,Matka,,https://www.youtube.com/results?search_query=Matylda%20/%20%C5%81ukasiewicz%20Matka,https://www.youtube.com/watch?v=Emcpp_-Ur4w,Emcpp_-Ur4w
122,Republika,TELEFONY,2002,https://www.youtube.com/results?search_query=Republika%20TELEFONY,https://www.youtube.com/watch?v=qEXyPSBYbMA,qEXyPSBYbMA
123,Budka Suflera,CIEŃ WIELKIEJ GÓRY,1999,https://www.youtube.com/results?search_query=Budka%20Suflera%20CIE%C5%83%20WIELKIEJ%20G%C3%93RY,https://www.youtube.com/watch?v=-Yryq4DytYY,-Yryq4DytYY
124,Wojciech Młynarski,JESZCZE W ZIELONE GRAMY,2000,https://www.youtube.com/results?search_query=Wojciech%20M%C5%82ynarski%20JESZCZE%20W%20ZIELONE%20GRAMY,https://www.youtube.com/watch?v=TniEe4ay_0Y,TniEe4ay_0Y
125,Grzegorz Turnau,NAPRAWDĘ NIE DZIEJE SIĘ NIC,2011,https://www.youtube.com/results?search_query=Grzegorz%20Turnau%20NAPRAWD%C4%98%20NIE%20DZIEJE%20SI%C4%98%20NIC,https://www.youtube.com/watch?v=-qJkAosmEZM,-qJkAosmEZM
126,Czesław Niemen,POD PAPUGAMI,,https://www.youtube.com/results?search_query=Czes%C5%82aw%20Niemen%20POD%20PAPUGAMI,https://www.youtube.com/watch?v=ePwwMgrPMW8,ePwwMgrPMW8
127,Urszula,"DMUCHAWCE, LATAWCE, WIATR",2004,https://www.youtube.com/results?search_query=Urszula%20DMUCHAWCE%2C%20LATAWCE%2C%20WIATR,https://www.youtube.com/watch?v=SmJD-yU48wM,SmJD-yU48wM
128,Perfect,CHCEMY BYĆ SOBĄ,1991,https://www.youtube.com/results?search_query=Perfect%20CHCEMY%20BY%C4%86%20SOB%C4%84,https://www.youtube.com/watch?v=PtteA5qw3E0,PtteA5qw3E0
129,Tilt,MÓWIĘ CI ŻE,2010,https://www.youtube.com/results?search_query=Tilt%20M%C3%93WI%C4%98%20CI%20%C5%BBE,https://www.youtube.com/watch?v=_kmYJXd2d5s,_kmYJXd2d5s
130,Republika,ZAPYTAJ MNIE CZY CIĘ KOCHAM,2007,https://www.youtube.com/results?search_query=Republika%20ZAPYTAJ%20MNIE%20CZY%20CI%C4%98%20KOCHAM,https://www.youtube.com/watch?v=IyBnzCJJx_g,IyBnzCJJx_g
131,Taco Hemingway,Następna stacja,2015,https://www.youtube.com/results?search_query=Taco%20Hemingway%20Nast%C4%99pna%20stacja,https://www.youtube.com/watch?v=TZgBIbqtDnQ,TZgBIbqtDnQ
132,Ewa Bem,SERCE TO JEST MUZYK,2001,https://www.youtube.com/results?search_query=Ewa%20Bem%20SERCE%20TO%20JEST%20MUZYK,https://www.youtube.com/watch?v=TFcMAlXZDzk,TFcMAlXZDzk
133,Izabela Trojanowska,WSZYSTKO CZEGO DZIŚ CHCĘ,1999,https://www.youtube.com/results?search_query=Izabela%20Trojanowska%20WSZYSTKO%20CZEGO%20DZI%C5%9A%20CHC%C4%98,https://www.youtube.com/watch?v=olkNnmhMj7Y,olkNnmhMj7Y
134,Budka Suflera,NOC KOMETY,2000,https://www.youtube.com/results?search_query=Budka%20Suflera%20NOC%20KOMETY,https://www.youtube.com/watch?v=ueB0rsmoJKo,ueB0rsmoJKo
135,Blenders,CIĄGNIK,1996,https://www.youtube.com/results?search_query=Blenders%20CI%C4%84GNIK,https://www.youtube.com/watch?v=eP5wNDeGqLk,eP5wNDeGqLk
136,Daria ze Śląska,Kill Bill,2023,https://www.youtube.com/results?search_query=Daria%20ze%20%C5%9Al%C4%85ska%20Kill%20Bill,https://www.youtube.com/watch?v=sfFn9JZjDbA,sfFn9JZjDbA
137,Wodecki/Pater feat. Wiktor Waligóra,Nad wszystko uśmiech Twój,,https://www.youtube.com/results?search_query=Wodecki/Pater%20feat.%20Wiktor%20Walig%C3%B3ra%20Nad%20wszystko%20u%C5%9Bmiech%20Tw%C3%B3j,https://www.youtube.com/watch?v=MdFU5xyO4kk,MdFU5xyO4kk
138,Budka Suflera,SEN O DOLINIE,1994,https://www.youtube.com/results?search_query=Budka%20Suflera%20SEN%20O%20DOLINIE,https://www.youtube.com/watch?v=55JjDp6ksY4,55JjDp6ksY4
139,Lady Pank,MARCHEWKOWE POLE,1995,https://www.youtube.com/results?search_query=Lady%20Pank%20MARCHEWKOWE%20POLE,https://www.youtube.com/watch?v=8unEo4tdVVQ,8unEo4tdVVQ
140,Lady Pank,KRYZYSOWA NARZECZONA,1995,https://www.youtube.com/results?search_query=Lady%20Pank%20KRYZYSOWA%20NARZECZONA,https://www.youtube.com/watch?v=o71HQWqi68U,o71HQWqi68U
141,Kaliber 44,PLUS I MINUS,,https://www.youtube.com/results?search_query=Kaliber%2044%20PLUS%20I%20MINUS,https://www.youtube.com/watch?v=7iiANZvz8Tg,7iiANZvz8Tg
142,Elektryczne Gitary,DZIECI,1993,https://www.youtube.com/results?search_query=Elektryczne%20Gitary%20DZIECI,https://www.youtube.com/watch?v=q4EM1jSg92k,q4EM1jSg92k
143,Alicja Majewska,ODKRYJEMY MIŁOŚĆ NIEZNANĄ,1999,https://www.youtube.com/results?search_query=Alicja%20Majewska%20ODKRYJEMY%20MI%C5%81O%C5%9A%C4%86%20NIEZNAN%C4%84,https://www.youtube.com/watch?v=reEHRU-GktU,reEHRU-GktU
144,Edyta Bartosiewicz,SEN,1994,https://www.youtube.com/results?search_query=Edyta%20Bartosiewicz%20SEN,https://www.youtube.com/watch?v=sVAZjaAJufE,sVAZjaAJufE
145,Myslovitz,CHCIAŁBYM UMRZEĆ Z MIŁOŚCI,2002,https://www.youtube.com/results?search_query=Myslovitz%20CHCIA%C5%81BYM%20UMRZE%C4%86%20Z%20MI%C5%81O%C5%9ACI,https://www.youtube.com/watch?v=CIxl2iIYadI,CIxl2iIYadI
146,Kobranocka,I NIKOMU NIE WOLNO SIĘ Z TEGO ŚMIAĆ,1992,https://www.youtube.com/results?search_query=Kobranocka%20I%20NIKOMU%20NIE%20WOLNO%20SI%C4%98%20Z%20TEGO%20%C5%9AMIA%C4%86,https://www.youtube.com/watch?v=oDlX9zszEmI,oDlX9zszEmI
147,Marek Grechuta & Anawa,KOROWÓD,1970,https://www.youtube.com/results?search_query=Marek%20Grechuta%20%26%20Anawa%20KOROW%C3%93D,https://www.youtube.com/watch?v=vrZKEvEen0M,vrZKEvEen0M
148,Maryla Rodowicz,NIECH ŻYJE BAL,2008,https://www.youtube.com/results?search_query=Maryla%20Rodowicz%20NIECH%20%C5%BBYJE%20BAL,https://www.youtube.com/watch?v=oHSsMI6UjAU,oHSsMI6UjAU
149,Dawid Podsiadło,Nieznajomy,2021,https://www.youtube.com/results?search_query=Dawid%20Podsiad%C5%82o%20Nieznajomy,https://www.youtube.com/watch?v=g4UDeQTjMYk,g4UDeQTjMYk
150,Grzegorz Turnau,MIĘDZY CISZĄ A CISZĄ,2009,https://www.youtube.com/results?search_query=Grzegorz%20Turnau%20MI%C4%98DZY%20CISZ%C4%84%20A%20CISZ%C4%84,https://www.youtube.com/watch?v=igige1xjij8,igige1xjij8
151,Maanam,BOSKIE BUENOS,1990,https://www.youtube.com/results?search_query=Maanam%20BOSKIE%20BUENOS,https://www.youtube.com/watch?v=YdE2CRrmXek,YdE2CRrmXek
152,IRA,NADZIEJA,2005,https://www.youtube.com/results?search_query=IRA%20NADZIEJA,https://www.youtube.com/watch?v=BS6uKBxsGAI,BS6uKBxsGAI
153,Krzysztof Komeda,ROSEMARY'S BABY,2010,https://www.youtube.com/results?search_query=Krzysztof%20Komeda%20ROSEMARY%27S%20BABY,https://www.youtube.com/watch?v=rKNv0q3xXpY,rKNv0q3xXpY
154,Kult,"HEJ, CZY NIE WIECIE",2020,https://www.youtube.com/results?search_query=Kult%20HEJ%2C%20CZY%20NIE%20WIECIE,https://www.youtube.com/watch?v=L1CxZeSJdfo,L1CxZeSJdfo
155,Kazik,SPALAM SIĘ,1991,https://www.youtube.com/results?search_query=Kazik%20SPALAM%20SI%C4%98,https://www.youtube.com/watch?v=ErxGIj0I_c8,ErxGIj0I_c8
156,Lady Pank,SZTUKA LATANIA,1997,https://www.youtube.com/results?search_query=Lady%20Pank%20SZTUKA%20LATANIA,https://www.youtube.com/watch?v=viTC3vkKOkk,viTC3vkKOkk
157,Bez zmian,12,,https://www.youtube.com/results?search_query=Bez%20zmian%2012,https://www.youtube.com/watch?v=YPG_4JNaC5w,YPG_4JNaC5w
158,Kortez,Z imbirem,2015,https://www.youtube.com/results?search_query=Kortez%20Z%20imbirem,https://www.youtube.com/watch?v=zh35F2u2VdI,zh35F2u2VdI
159,Basia Stępniak-Wilk i Grzegorz Turnau,BOMBONIERKA,,https://www.youtube.com/results?search_query=Basia%20St%C4%99pniak-Wilk%20i%20Grzegorz%20Turnau%20BOMBONIERKA,https://www.youtube.com/watch?v=0uuYicF9eUg,0uuYicF9eUg
160,Świetliki i Linda,FILANDIA,2005,https://www.youtube.com/results?search_query=%C5%9Awietliki%20i%20Linda%20FILANDIA,https://www.youtube.com/watch?v=FCo7Wn7Gz6M,FCo7Wn7Gz6M
161,Sosnowski,Pył,2022,https://www.youtube.com/results?search_query=Sosnowski%20Py%C5%82,https://www.youtube.com/watch?v=Alq-VzBLT-8,Alq-VzBLT-8
162,Grzegorz Markowski,BALLADA 07 (Z SERIALU TV 07 ZGŁOŚ SIĘ),,https://www.youtube.com/results?search_query=Grzegorz%20Markowski%20BALLADA%2007%20%28Z%20SERIALU%20TV%20%2207%20ZG%C5%81O%C5%9A%20SI%C4%98%22%29,https://www.youtube.com/watch?v=KGFv0HzJDfI,KGFv0HzJDfI
163,Krzysztof Krawczyk i Edyta Bartosiewicz,TRUDNO TAK (RAZEM BYĆ NAM ZE SOBĄ...),,https://www.youtube.com/results?search_query=Krzysztof%20Krawczyk%20i%20Edyta%20Bartosiewicz%20TRUDNO%20TAK%20%28RAZEM%20BY%C4%86%20NAM%20ZE%20SOB%C4%84...%29,https://www.youtube.com/watch?v=kpUWMl0gLEQ,kpUWMl0gLEQ
164,Kult,Gdy nie ma dzieci,1998,https://www.youtube.com/results?search_query=Kult%20Gdy%20nie%20ma%20dzieci,https://www.youtube.com/watch?v=I8NcELiIMHg,I8NcELiIMHg
165,Grzegorz Turnau,CICHOSZA,1994,https://www.youtube.com/results?search_query=Grzegorz%20Turnau%20CICHOSZA,https://www.youtube.com/watch?v=m98MBACe1xk,m98MBACe1xk
166,Strachy na Lachy,PIŁA TANGO,2005,https://www.youtube.com/results?search_query=Strachy%20na%20Lachy%20PI%C5%81A%20TANGO,https://www.youtube.com/watch?v=nFBBD1Eim1E,nFBBD1Eim1E
167,Zbigniew Wodecki i Zdzisława Sośnicka,Z TOBĄ CHCĘ OGLĄDAĆ ŚWIAT,,https://www.youtube.com/results?search_query=Zbigniew%20Wodecki%20i%20Zdzis%C5%82awa%20So%C5%9Bnicka%20Z%20TOB%C4%84%20CHC%C4%98%20OGL%C4%84DA%C4%86%20%C5%9AWIAT,https://www.youtube.com/watch?v=7BusTxnFRH8,7BusTxnFRH8
168,Akurat,DO PROSTEGO CZŁOWIEKA,2004,https://www.youtube.com/results?search_query=Akurat%20DO%20PROSTEGO%20CZ%C5%81OWIEKA,https://www.youtube.com/watch?v=mJObCsl06j8,mJObCsl06j8
169,Pablopavo i Ludziki,KARWOSKI,2021,https://www.youtube.com/results?search_query=Pablopavo%20i%20Ludziki%20KARWOSKI,https://www.youtube.com/watch?v=hVcgSByaHPA,hVcgSByaHPA
170,Zbigniew Zamachowski i Grupa MoCarta,KOBIETY JAK TE KWIATY,,https://www.youtube.com/results?search_query=Zbigniew%20Zamachowski%20i%20Grupa%20MoCarta%20KOBIETY%20JAK%20TE%20KWIATY,https://www.youtube.com/watch?v=3rX_S9eoV7I,3rX_S9eoV7I
171,Edyta Bartosiewicz,JENNY,1998,https://www.youtube.com/results?search_query=Edyta%20Bartosiewicz%20JENNY,https://www.youtube.com/watch?v=-jaSOrMCbu4,-jaSOrMCbu4
172,Renata Przemyk,BABĘ ZESŁAŁ BÓG,2003,https://www.youtube.com/results?search_query=Renata%20Przemyk%20BAB%C4%98%20ZES%C5%81A%C5%81%20B%C3%93G,https://www.youtube.com/watch?v=hxm20v1KKmk,hxm20v1KKmk
173,Dawid Podsiadło,Małomiasteczkowy,2019,https://www.youtube.com/results?search_query=Dawid%20Podsiad%C5%82o%20Ma%C5%82omiasteczkowy,https://www.youtube.com/watch?v=zfL1I7WpEdk,zfL1I7WpEdk
174,Wilki,ELI LAMA SABACHTANI,1992,https://www.youtube.com/results?search_query=Wilki%20ELI%20LAMA%20SABACHTANI,https://www.youtube.com/watch?v=gOAaBEeUy_I,gOAaBEeUy_I
175,Coma,Leszek Żukowski,2004,https://www.youtube.com/results?search_query=Coma%20Leszek%20%C5%BBukowski,https://www.youtube.com/watch?v=A36Z0OdzcH4,A36Z0OdzcH4
176,Formacja Nieżywych Schabuff,KLUB WESOŁEGO SZAMPANA,,https://www.youtube.com/results?search_query=Formacja%20Nie%C5%BCywych%20Schabuff%20KLUB%20WESO%C5%81EGO%20SZAMPANA,https://www.youtube.com/watch?v=GZQjn9FFfGs,GZQjn9FFfGs
177,Elektryczne Gitary,CZŁOWIEK Z LIŚCIEM,1996,https://www.youtube.com/results?search_query=Elektryczne%20Gitary%20CZ%C5%81OWIEK%20Z%20LI%C5%9ACIEM,https://www.youtube.com/watch?v=6VJV7werPvE,6VJV7werPvE
178,"Raz, Dwa, Trzy",I TAK WARTO ŻYĆ,1996,https://www.youtube.com/results?search_query=Raz%2C%20Dwa%2C%20Trzy%20I%20TAK%20WARTO%20%C5%BBY%C4%86,https://www.youtube.com/watch?v=MnEg3UWWMw4,MnEg3UWWMw4
179,Kombi,SŁODKIEGO MIŁEGO ŻYCIA,2007,https://www.youtube.com/results?search_query=Kombi%20S%C5%81ODKIEGO%20MI%C5%81EGO%20%C5%BBYCIA,https://www.youtube.com/watch?v=YMsQ5izhIDo,YMsQ5izhIDo
180,Akurat,Lubię Mówić z Tobą,2006,https://www.youtube.com/results?search_query=Akurat%20Lubi%C4%99%20M%C3%B3wi%C4%87%20z%20Tob%C4%85,https://www.youtube.com/watch?v=BwBG_H5oYos,BwBG_H5oYos
181,Maanam,LIPSTICK ON THE GLASS,2015,https://www.youtube.com/results?search_query=Maanam%20LIPSTICK%20ON%20THE%20GLASS,https://www.youtube.com/watch?v=5lO4ZOqlqJg,5lO4ZOqlqJg
182,Fisz Emade Tworzywo,Za mało czasu,2021,https://www.youtube.com/results?search_query=Fisz%20Emade%20Tworzywo%20Za%20ma%C5%82o%20czasu,https://www.youtube.com/watch?v=bDpKE-LVCSo,bDpKE-LVCSo
183,Kortez,Zostań,2016,https://www.youtube.com/results?search_query=Kortez%20Zosta%C5%84,https://www.youtube.com/watch?v=bi_huIZikkM,bi_huIZikkM
184,Hanna Banaszak,W MOIM MAGICZNYM DOMU,1998,https://www.youtube.com/results?search_query=Hanna%20Banaszak%20W%20MOIM%20MAGICZNYM%20DOMU,https://www.youtube.com/watch?v=U5iq-cVKuvs,U5iq-cVKuvs
185,Kaśka Sochacka,Madison,2023,https://www.youtube.com/results?search_query=Ka%C5%9Bka%20Sochacka%20Madison,https://www.youtube.com/watch?v=q_-akkOJU8o,q_-akkOJU8o
186,Zdzisława Sośnicka,ALEJA GWIAZD,1987,https://www.youtube.com/results?search_query=Zdzis%C5%82awa%20So%C5%9Bnicka%20ALEJA%20GWIAZD,https://www.youtube.com/watch?v=Ziqujo1O7rw,Ziqujo1O7rw
187,Magda Umer,KONCERT JESIENNY NA DWA ŚWIERSZCZE I WIATR W KOMINIE,1995,https://www.youtube.com/results?search_query=Magda%20Umer%20KONCERT%20JESIENNY%20NA%20DWA%20%C5%9AWIERSZCZE%20I%20WIATR%20W%20KOMINIE,https://www.youtube.com/watch?v=TKDP0d9SJto,TKDP0d9SJto
188,Edyta Geppert,"JAKA RÓŻA, TAKI CIERŃ",1986,https://www.youtube.com/results?search_query=Edyta%20Geppert%20JAKA%20R%C3%93%C5%BBA%2C%20TAKI%20CIER%C5%83,https://www.youtube.com/watch?v=VBzyU0Xxtpk,VBzyU0Xxtpk
189,Banda i Wanda,HI-FI,1984,https://www.youtube.com/results?search_query=Banda%20i%20Wanda%20HI-FI,https://www.youtube.com/watch?v=4-OBu1nHwI4,4-OBu1nHwI4
190,Kazik & Yugoton,MALCZIKI,,https://www.youtube.com/results?search_query=Kazik%20%26%20Yugoton%20MALCZIKI,https://www.youtube.com/watch?v=iNxDj-i-yi8,iNxDj-i-yi8
191,Kult,CELINA,1993,https://www.youtube.com/results?search_query=Kult%20CELINA,https://www.youtube.com/watch?v=AciQQ7clyUg,AciQQ7clyUg
192,Alicja Majewska,JESZCZE SIĘ TAM ŻAGIEL BIELI,2001,https://www.youtube.com/results?search_query=Alicja%20Majewska%20JESZCZE%20SI%C4%98%20TAM%20%C5%BBAGIEL%20BIELI,https://www.youtube.com/watch?v=9un0ZU8HZO8,9un0ZU8HZO8
193,Budka Suflera,ZA OSTATNI GROSZ,1996,https://www.youtube.com/results?search_query=Budka%20Suflera%20ZA%20OSTATNI%20GROSZ,https://www.youtube.com/watch?v=A68cxylSjzk,A68cxylSjzk
194,Maanam,SZAŁ NIEBIESKICH CIAŁ,2000,https://www.youtube.com/results?search_query=Maanam%20SZA%C5%81%20NIEBIESKICH%20CIA%C5%81,https://www.youtube.com/watch?v=QygEd9k6LXg,QygEd9k6LXg
195,Big Cyc,BERLIN ZACHODNI,2008,https://www.youtube.com/results?search_query=Big%20Cyc%20BERLIN%20ZACHODNI,https://www.youtube.com/watch?v=xI5w1kTxUVE,xI5w1kTxUVE
196,Oddział Zamknięty,OBUDŹ SIĘ,1996,https://www.youtube.com/results?search_query=Oddzia%C5%82%20Zamkni%C4%99ty%20OBUD%C5%B9%20SI%C4%98,https://www.youtube.com/watch?v=wFYpOG5Ldbs,wFYpOG5Ldbs
197,Varius Manx,ZANIM ZROZUMIESZ,1994,https://www.youtube.com/results?search_query=Varius%20Manx%20ZANIM%20ZROZUMIESZ,https://www.youtube.com/watch?v=DxWKCvpoPYI,DxWKCvpoPYI
198,Marek Grechuta & Anawa,ŚWIECIE NASZ,1974,https://www.youtube.com/results?search_query=Marek%20Grechuta%20%26%20Anawa%20%C5%9AWIECIE%20NASZ,https://www.youtube.com/watch?v=fhw117j7LLg,fhw117j7LLg
199,Anna Jantar,TYLE SŁOŃCA W CAŁYM MIEŚCIE,2010,https://www.youtube.com/results?search_query=Anna%20Jantar%20TYLE%20S%C5%81O%C5%83CA%20W%20CA%C5%81YM%20MIE%C5%9ACIE,https://www.youtube.com/watch?v=wChFEkCqt5s,wChFEkCqt5s
200,Taco Hemingway,Deszcz na betonie,2016,https://www.youtube.com/results?search_query=Taco%20Hemingway%20Deszcz%20na%20betonie,https://www.youtube.com/watch?v=WsEBnJrPV1w,WsEBnJrPV1w
201,Ania Dąbrowska,"Charlie, Charlie",2004,https://www.youtube.com/results?search_query=Ania%20D%C4%85browska%20Charlie%2C%20Charlie,https://www.youtube.com/watch?v=8BxqLLqv49A,8BxqLLqv49A
202,Lombard,GOŁĘBI PUCH,1996,https://www.youtube.com/results?search_query=Lombard%20GO%C5%81%C4%98BI%20PUCH,https://www.youtube.com/watch?v=0lB31NuCJ44,0lB31NuCJ44
203,Maanam,PO PROSTU BĄDŹ,2015,https://www.youtube.com/results?search_query=Maanam%20PO%20PROSTU%20B%C4%84D%C5%B9,https://www.youtube.com/watch?v=hIlJrDTv2kI,hIlJrDTv2kI
204,Dżamble,WYMYŚLIŁEM CIEBIE,1971,https://www.youtube.com/results?search_query=D%C5%BCamble%20WYMY%C5%9ALI%C5%81EM%20CIEBIE,https://www.youtube.com/watch?v=3Y9OG3LYQyc,3Y9OG3LYQyc
205,Anita Lipnicka,I WSZYSTKO SIĘ MOŻE ZDARZYĆ,2003,https://www.youtube.com/results?search_query=Anita%20Lipnicka%20I%20WSZYSTKO%20SI%C4%98%20MO%C5%BBE%20ZDARZY%C4%86,https://www.youtube.com/watch?v=3YxOZQqNYY8,3YxOZQqNYY8
206,Czerwone Gitary,"PŁONĄ GÓRY, PŁONĄ LASY",1991,https://www.youtube.com/results?search_query=Czerwone%20Gitary%20P%C5%81ON%C4%84%20G%C3%93RY%2C%20P%C5%81ON%C4%84%20LASY,https://www.youtube.com/watch?v=1WlgS-gYMcs,1WlgS-gYMcs
207,Andrzej Kurylewicz,TEMAT SERIALU POLSKIE DROGI,,https://www.youtube.com/results?search_query=Andrzej%20Kurylewicz%20TEMAT%20SERIALU%20%22POLSKIE%20DROGI%22,https://www.youtube.com/watch?v=yYfWa4N0yy8,yYfWa4N0yy8
208,Hey,MIMO WSZYSTKO,2007,https://www.youtube.com/results?search_query=Hey%20MIMO%20WSZYSTKO,https://www.youtube.com/watch?v=r8p9XengWmw,r8p9XengWmw
209,Kortez,HEJ WY,2018,https://www.youtube.com/results?search_query=Kortez%20HEJ%20WY,https://www.youtube.com/watch?v=GcjsvWNS5Ds,GcjsvWNS5Ds
210,Bajm,BIAŁA ARMIA,1990,https://www.youtube.com/results?search_query=Bajm%20BIA%C5%81A%20ARMIA,https://www.youtube.com/watch?v=y2p2glq7dz0,y2p2glq7dz0
211,Perfect,KOŁYSANKA DLA NIEZNAJOMEJ,2000,https://www.youtube.com/results?search_query=Perfect%20KO%C5%81YSANKA%20DLA%20NIEZNAJOMEJ,https://www.youtube.com/watch?v=hHx7qyFufYc,hHx7qyFufYc
212,Myslovitz,CHŁOPCY,2008,https://www.youtube.com/results?search_query=Myslovitz%20CH%C5%81OPCY,https://www.youtube.com/watch?v=4H04sspfKBc,4H04sspfKBc
213,Stare Dobre Małżeństwo,Z NIM BĘDZIESZ SZCZĘŚLIWSZA,1990,https://www.youtube.com/results?search_query=Stare%20Dobre%20Ma%C5%82%C5%BCe%C5%84stwo%20Z%20NIM%20B%C4%98DZIESZ%20SZCZ%C4%98%C5%9ALIWSZA,https://www.youtube.com/watch?v=KsLc59YFABM,KsLc59YFABM
214,Chłopcy z Placu Broni,O! ELA,1999,https://www.youtube.com/results?search_query=Ch%C5%82opcy%20z%20Placu%20Broni%20O%21%20ELA,https://www.youtube.com/watch?v=fYZiakSB7PQ,fYZiakSB7PQ
215,Dżem,CZERWONY JAK CEGŁA,2012,https://www.youtube.com/results?search_query=D%C5%BCem%20CZERWONY%20JAK%20CEG%C5%81A,https://www.youtube.com/watch?v=eZtRqHildg8,eZtRqHildg8
216,Fisz Emade Tworzywo feat. Justyna Święs,ŚLADY,2014,https://www.youtube.com/results?search_query=Fisz%20Emade%20Tworzywo%20feat.%20Justyna%20%C5%9Awi%C4%99s%20%C5%9ALADY,https://www.youtube.com/watch?v=I2eWcmjp680,I2eWcmjp680
217,Kazik na Żywo,Tata dilera,2016,https://www.youtube.com/results?search_query=Kazik%20na%20%C5%BBywo%20Tata%20dilera,https://www.youtube.com/watch?v=LSrg6BnuEDs,LSrg6BnuEDs
218,Seweryn Krajewski,UCIEKAJ MOJE SERCE,1997,https://www.youtube.com/results?search_query=Seweryn%20Krajewski%20UCIEKAJ%20MOJE%20SERCE,https://www.youtube.com/watch?v=Gyk4pEWZddU,Gyk4pEWZddU
219,Fisz Emade Tworzywo,DWA OGNIE,2019,https://www.youtube.com/results?search_query=Fisz%20Emade%20Tworzywo%20DWA%20OGNIE,https://www.youtube.com/watch?v=sygvbGHjcv0,sygvbGHjcv0
220,Myslovitz,SCENARIUSZ DLA MOICH SĄSIADÓW,1997,https://www.youtube.com/results?search_query=Myslovitz%20SCENARIUSZ%20DLA%20MOICH%20S%C4%84SIAD%C3%93W,https://www.youtube.com/watch?v=AbyJ_h4xfRQ,AbyJ_h4xfRQ
221,Bajm,Jezioro szczęścia,2015,https://www.youtube.com/results?search_query=Bajm%20Jezioro%20szcz%C4%99%C5%9Bcia,https://www.youtube.com/watch?v=DveOTb29CgE,DveOTb29CgE
222,Ørganek,MISSISSIPPI W OGNIU,2016,https://www.youtube.com/results?search_query=%C3%98rganek%20MISSISSIPPI%20W%20OGNIU,https://www.youtube.com/watch?v=brCzJ7ygLY8,brCzJ7ygLY8
223,Myslovitz,DLA CIEBIE,2000,https://www.youtube.com/results?search_query=Myslovitz%20DLA%20CIEBIE,https://www.youtube.com/watch?v=SuUZMMhARBA,SuUZMMhARBA
224,Łona x Konieczny x Krupa,Pan Darek,2023,https://www.youtube.com/results?search_query=%C5%81ona%20x%20Konieczny%20x%20Krupa%20Pan%20Darek,https://www.youtube.com/watch?v=zMESUG7yQqQ,zMESUG7yQqQ
225,Golden Life,24.11.94,,https://www.youtube.com/results?search_query=Golden%20Life%2024.11.94,https://www.youtube.com/watch?v=cmwOe81cAgM,cmwOe81cAgM
226,De Mono,STATKI NA NIEBIE,,https://www.youtube.com/results?search_query=De%20Mono%20STATKI%20NA%20NIEBIE,https://www.youtube.com/watch?v=PO9RNqr91MY,PO9RNqr91MY
227,Bluszcz,LAMPARTY,,https://www.youtube.com/results?search_query=Bluszcz%20LAMPARTY,https://www.youtube.com/watch?v=xTrjg5zk1wU,xTrjg5zk1wU
228,Anna Maria Jopek & Pat Metheny,"TAM, GDZIE NIE SIĘGA WZROK",,https://www.youtube.com/results?search_query=Anna%20Maria%20Jopek%20%26%20Pat%20Metheny%20TAM%2C%20GDZIE%20NIE%20SI%C4%98GA%20WZROK,https://www.youtube.com/watch?v=fMj2grBUFfk,fMj2grBUFfk
229,Ørganek,FOTOGRAF BROK,2024,https://www.youtube.com/results?search_query=%C3%98rganek%20FOTOGRAF%20BROK,https://www.youtube.com/watch?v=-dnIIB2z5ds,-dnIIB2z5ds
230,Riverside,Friend Or Foe,2023,https://www.youtube.com/results?search_query=Riverside%20Friend%20Or%20Foe,https://www.youtube.com/watch?v=EWQQFjyHtro,EWQQFjyHtro
231,Halina Frąckowiak,PAPIEROWY KSIĘŻYC,1987,https://www.youtube.com/results?search_query=Halina%20Fr%C4%85ckowiak%20PAPIEROWY%20KSI%C4%98%C5%BBYC,https://www.youtube.com/watch?v=rlkzBab-wjA,rlkzBab-wjA
232,Wilki,SON OF THE BLUE SKY,2002,https://www.youtube.com/results?search_query=Wilki%20SON%20OF%20THE%20BLUE%20SKY,https://www.youtube.com/watch?v=bix1tb6rVeU,bix1tb6rVeU
233,Męskie Granie Orkiestra 2016,WATAHA,2016,https://www.youtube.com/results?search_query=M%C4%99skie%20Granie%20Orkiestra%202016%20WATAHA,https://www.youtube.com/watch?v=K2Zo_LWODuk,K2Zo_LWODuk
234,"Raz, Dwa, Trzy",POD NIEBEM,2005,https://www.youtube.com/results?search_query=Raz%2C%20Dwa%2C%20Trzy%20POD%20NIEBEM,https://www.youtube.com/watch?v=rA1E3Ok1PvM,rA1E3Ok1PvM
235,Maanam,LUCCIOLA,2011,https://www.youtube.com/results?search_query=Maanam%20LUCCIOLA,https://www.youtube.com/watch?v=Nx1Yvyauff0,Nx1Yvyauff0
236,Maryla Rodowicz,MAŁGOŚKA,1996,https://www.youtube.com/results?search_query=Maryla%20Rodowicz%20MA%C5%81GO%C5%9AKA,https://www.youtube.com/watch?v=26MdTMNpsFM,26MdTMNpsFM
